bill_num,title,bill_summary,index_headings,veto,session,last_action,passed_house,passed_senate,passed
hb11,AN ACT relating to student health.,"Create a new section of KRS Chapter 438 to define terms; prohibit use of tobacco products by students, school personnel, and visitors in schools, school vehicles, properties, and activities; require policies to be in place by the 2020-2021 school year; require that smoke-free policies and signage be adopted; provide that existing bans are not impacted; repeal KRS 438.050.","Education, Elementary and Secondary - Tobacco use in schools and on school property, prohibition Health and Medical Services - Tobacco use in schools and on school property, prohibition Public Health - Tobacco use in schools and on school property, prohibition Tobacco - Use in schools and on school property, prohibition Public Safety - Tobacco use in schools and on school property, prohibition",0,2019 General Assembly,delivered to Governor,1,1,1
hb12,AN ACT relating to sports wagering and making an appropriation therefor.,"Create a new section of KRS Chapter 154A to require the Kentucky Lottery Corporation to institute a sports wagering system; amend KRS 154A.010 to define ""collegiate sports contest,"" ""net sports wagering receipts,"" ""professional sports contest,"" and ""sports wagering""; amend KRS 154A.030 to prohibit owners of professional sports teams from serving on the board; amend KRS 154A.050 and 154A.060 to include sports wagering; amend 154A.063 to allow the corporation to accept wagers on collegiate and professional sports contests; amend KRS 154A.065 to prohibit sports wagers on horse racing; amend KRS 154A.070 to include sports wagering; amend KRS 154A.090 to include sports wagering retailers; amend KRS 154A.110 to prohibit sales of sports wagers to persons under 18 years of age, provide for the allocation of unclaimed sports wager prize money, and restrict owners, coaches players, and others involved in a sporting contest from placing sports wagers; create new sections of KRS Chapter 154A to permit sports wagering at lottery retailers, horse racing tracks, and simulcast facilities; require the corporation to promulgate administrative regulations needed to establish and oversee sports wagering and prohibit participants in sporting events from placing wagers on games in which they are participating; create new sections of KRS Chapter 154A to establish the sports wagering distribution trust fund and a problem gambling awareness and treatment fund and limit uses of the sports wagering revenue to administrative costs, problem gambler treatment funding, and pension system funding; amend KRS 154A.120 to include sports wagering; amend KRS 154A.130 to exempt sports wagering receipts and specify that sports wagering receipts shall be deposited in the sports wagering distribution trust fund; amend KRS 154A.400 and 154A.410 to include sports wagering; amend KRS 154A.420 to include sports wagering and allow the corporation to require a retailer to establish a separate sports wagering electronic funds transfer account, where available; amend KRS 154A.430 to include sports wagering; amend KRS 154A.440 to require retailers to accept sports wagers only at the location listed on their contract; amend KRS 154A.600 and 154A.650 to include sports wagering; amend KRS 154A.990 to establish penalties for selling a sports wager to anyone under 18 years of age, to establish the crime of tampering with the outcome of a sporting event, to prohibit participants from wagering on a sporting event, and establish penalties; APPROPRIATION.","Fees - Sports wagering, licensing fees for Gambling - Sports wagering, authorization for Lottery - Sports wagering, oversight of Racing - Sports wagering, prohibition for certain facilities Retirement and Pensions - Sports wagering, revenue generated by Amusements and Recreation - Sports wagering, authorization for Appropriations - Sports wagering tax Athletics - Sports wagering, authorization for Horses and Horse Racing - Racing venues, sports wagering conducted at",0,2019 General Assembly,to Appropriations & Revenue (H),0,0,0
hb13,AN ACT relating to fire protection and making an appropriation therefor.,"Amend KRS 95A.520 and 95A.540, relating to volunteer  fire department mergers, to make it applicable to volunteer fire departments merging prior to the effective date of the Act; create a new section of KRS Chapter 95A to provide that for volunteer fire departments merging after the effective date of the Act, the Fire Commission shall pay to the departments the number of qualified shares of volunteer fire department aid each is entitled to for a period of 20 years after the date of the merger, upon the expiration of which the merged department receives only one share; provide contingency protocols if the merged fire department becomes unqualified; create a new section of KRS Chapter 95A to provide a contingency protocol if a new volunteer fire department is created out of the merged one during the 20 year period; create new sections of KRS Chapter 75 to allow an alternative tax rate and board structure for fire districts electing to do so; set tax rate at a maximum of $0.15 for a district, and maximum of $0.25 for a district operating the sole emergency ambulance service and make the tax subject to the recall provisions; establish a seven member board of which one is appointed by the county executive head, four are elected by persons owning property within the district, and two are firefighters of the districts elected by the firefighters of the district; set election procedures and times; amend KRS 132.023, relating to tax recall provisions, to integrate applicable fire districts, as defined in the section, within the scope of the section.","Firefighters and Fire Departments - Fire districts, board of trustees, alternative constituency Taxation - Fire districts, alternative tax structure Firefighters and Fire Departments - Fire districts, alternative tax structure Firefighters and Fire Departments - Volunteer fire departments, state aid to merging departments Local Government - Fire districts, alternative tax structure Local Government - Fire districts, board of trustees, alternative constituency Local Government - Volunteer fire departments, state aid to merging departments Local Mandate - Fire districts, alternative tax structure Special Districts - Fire districts, alternative tax structure Special Districts - Fire districts, board of trustees, alternative constituency Special Districts - Volunteer fire departments, state aid to merging departments State Agencies - Fire Commission, volunteer fire department aid relating to merging departments Taxation, Property - Fire districts, alternative tax structure Counties - Fire districts, alternative tax structure Counties - Fire districts, board of trustees, alternative constituency Counties - Volunteer fire departments, state aid to merging departments Boards and Commissions - Fire districts, alternative tax structure Local Mandate - Fire districts, alternative tax structure",0,2019 General Assembly,recommitted to Appropriations & Revenue (H),0,0,0
hb486,AN ACT relating to economic development and workforce investment.,Amend KRS 337.055 to insert gender-neutral language.,"Economic Development - Technical amendment, gender neutrality Labor and Industry - Technical amendment, gender neutrality Workforce - Technical amendment, gender neutrality",0,2018 General Assembly,posted in committee,0,0,0
hb14,AN ACT relating to public charter schools.,"Amend KRS 156.095 to remove references to public charter schools; repeal KRS 160.1590, 160.1591, KRS 160.1592, 160.1593, 160.1594, 160.1595, 160.1596, 160.1597, 160.1598, 160.1599, and 161.141.","Education, Elementary and Secondary - Charter school statutes, repealing Teachers - Charter school statutes, repealing Athletics - Charter school statutes, repealing",0,2019 General Assembly,to Education (H),0,0,0
hb15,"AN ACT relating to the taxation of pension income, making an appropriation therefor, and declaring an emergency.","Amend KRS 141.019 to increase the pension income exclusion from $31,110 to $41,110; declare this Act to apply retroactively for taxable years beginning on or after January 1, 2018; require the Department of Revenue to automatically issue refunds; APPROPRIATION; EMERGENCY.","Effective Dates, Emergency - Pension income exclusion, retroactively raise Retirement and Pensions - Pension income exclusion, retroactively raise Taxation - Pension income exclusion, retroactively raise Taxation, Income--Individual - Pension income exclusion, retroactively raise Retroactive Legislation - Pension income exclusion, raise for tax years beginning on or after January 1, 2018 Appropriations - Pension income exclusion, retroactively raise Fiscal Note - Pension income exclusion, retroactively raise",0,2019 General Assembly,to Appropriations & Revenue (H),0,0,0
hb16,AN ACT relating to public utilities.,"Create new section of KRS 278.010 to 278.450 to set a residential fixed customer charge to recover no more than fixed capital costs for metering, billing, service connections, and customer service for electric, natural gas, and water utilities; amend KRS 278.010 to define ""customer charge""; amend KRS 278.030 to include affordability as a criterion for utility rates and to establish that the policy of the Commonwealth is to require costs to be reasonable and to provide for their recovery; require the Public Service Commission to balance the interests of the utility, investors, and consumer in establishing fair, just, reasonable and affordable rates; amend KRS 278.183 to require that the costs paid through the environmental surcharge and subjected to two year review are subject to apportionment of fixed, direct capital costs for metering, billing, connection, and service;  amend KRS 278.190 to allow the commission to examine the determination of costs and apply standards for rates that include affordability and balancing of interests of various parties affected by the rate; amend KRS 278.255 to require a management and operations audit beginning December 31, 2019, and every five years thereafter and to require the results of the audit be made available on the Public Service Commission and each audited utility's Web site; exempt electric distribution cooperatives from the initial and periodic audit requirements; amend KRS 278.260 to require the Public Service Commission to give the Office of the Attorney General's Office of Rate Intervention notice of any investigation into unreasonable or discriminatory rates, measurements or practices by a utility under its jurisdiction.","Energy - Affordable rates and service, distinction between base rates and surcharges Public Utilities - Affordable rates and service, distinction between base rates and surcharges Attorney General - Office of Rate Intervention, notice, discriminatory or unreasonable rates Cooperatives - Distribution cooperatives, exemption, management and operations audits",0,2019 General Assembly,to Natural Resources & Energy (H),0,0,0
hb17,AN ACT relating to public charter schools.,"Amend KRS 156.095 to remove references to public charter schools; repeal KRS 160.1590, KRS 160.1591, KRS 160.1592, KRS 160.1593, KRS 160.1594, KRS 160.1595, KRS 160.1596, KRS 160.1597, KRS 160.1598, KRS 160.1599, and KRS 161.141.","Education, Elementary and Secondary - Charter school statutes, repeal Teachers - Charter school statutes, repeal Athletics - Charter school statutes, repeal",0,2019 General Assembly,to Education (H),0,0,0
hb18,AN ACT relating to the investigation of a shooting or deadly incident by a law enforcement officer.,Create new sections of KRS Chapter 15A to provide definitions and establish an Officer Shooting Review Board to investigate any shooting of an individual by a law enforcement officer or officers or any deadly incident involving law enforcement; set requirements for board members; provide duties of the board; specify requirements related to investigatory work performed by the Kentucky State Police Critical Incident Response Team on behalf of the board; establish investigatory procedures and protocols; provide requirements for submission of the board’s report to the Commonwealth's attorney of the jurisdiction in which the shooting or deadly incident took place or to the Attorney General; provide requirements for independent investigation of any shooting of an individual by a law enforcement officer or officers or any deadly incident involving law enforcement.,"Criminal Procedure - Officer Shooting Review Board, establishment of Peace Officers and Law Enforcement - Shooting of an individual by a law enforcement officer or deadly incident, investigation of  Police, City and County - Shooting of an individual by a law enforcement officer or deadly incident, investigation of  Police, State - Shooting of an individual by a law enforcement officer or deadly incident, investigation of Public Records and Reports - Shooting of an individual by a law enforcement officer or deadly incident, investigation of Sheriffs - Shooting of an individual by a law enforcement officer or deadly incident, investigation of Attorney, Commonwealth's - Shooting of an individual by a law enforcement officer or deadly incident, investigation of  Attorney General - Officer Shooting Review Board, establishment of  Boards and Commissions - Officer Shooting Review Board, establishment of Public Safety - Shooting of an individual by a law enforcement officer or deadly incident, investigation of",0,2019 General Assembly,to Judiciary (H),0,0,0
hb19,AN ACT proposing an amendment to Section 42 of the Constitution of Kentucky relating to compensation for members of the General Assembly.,Propose to amend Section 42 of the Constitution of Kentucky to prohibit members of the General Assembly from receiving legislative pay for a special session that has been called by the Governor because the General Assembly adjourned without passing a state budget; submit to the voters with ballot question.,"Elections and Voting - Constitutional amendment, General Assembly, budget special session,  compensation suspended General Assembly - Constitutional amendment, budget special session, compensation suspended Secretary of State - Constitutional amendment, General Assembly, budget special session,  compensation suspended Appropriations - Constitutional amendment, General Assembly, budget special session,  compensation suspended Budget and Financial Administration - Constitutional amendment, General Assembly, budget special session, compensation suspended Constitution, Ky. - General Assembly, budget special session, compensation for services, suspension of",0,2019 General Assembly,"to Elections, Const. Amendments & Intergovernmental Affairs (H)",0,0,0
hb20,AN ACT relating to legislative procedures for state fiscal measures.,"Create a new section of KRS Chapter 6 to require roll call votes on any state fiscal measure, including an appropriation or revenue-raising measure, voted upon in the Senate or House of Representatives or a committee thereof; require identification of any state fiscal measure by the director of the Legislative Research Commission upon request of a legislator, the Senate, the House of Representatives, or a committee of the Senate or House; require separate votes for any state fiscal measure.","General Assembly - Roll call vote for appropriation or revenue measure, requirement for Legislative Research Commission - Appropriation or revenue measure, requirement for designation of Taxation - Roll call vote, requirement for Appropriations - Roll call vote, requirement for Budget and Financial Administration - Roll call vote, requirement for",0,2019 General Assembly,to State Government (H),0,0,0
hb35,"AN ACT proposing to amend Sections 99, 124, and 144 of the Constitution of Kentucky relating to a Judge of the County Court.","Propose to amend Sections 99, 124, and 144 of the Constitution of Kentucky to eliminate the Office of Judge of County Court in urban-county governments; submit to the voters for approval or disapproval.","County Judges/Executive - Judge of County Court in urban-county governments, abolishing Local Mandate - Judge of County Court in urban-county governments, abolishing Constitution, Ky. - Judge of County Court in urban-county governments, abolishing",0,2019 General Assembly,"to Elections, Const. Amendments & Intergovernmental Affairs (H)",0,0,0
hb21,AN ACT relating to family resource and youth services centers.,Amend KRS 156.496 to allow school districts to accept monetary donations for the operation and maintenance of family resource and youth services centers; require that donations be used exclusively for those purposes.,"Education, Elementary and Secondary - Family resource and youth services centers, authorize donations to Education, Finance - Family resource and youth services centers, authorize donations to Taxation - Family resource and youth services centers, authorize donations to Taxation, Income--Corporate - Family resource and youth services centers, authorize donations to Taxation, Income--Individual - Family resource and youth services centers, authorize donations to Children and Minors - Family resource and youth services centers, authorize donations to",0,2019 General Assembly,signed by Governor,1,1,1
hb22,AN ACT relating to local boards of education.,Amend KRS 160.190 to change a local board vacancy from being appointed by the chief state school officer to being appointed by a majority vote of the local board; establish a timeline and procedures of appointment; establish a procedure for a failure to make appointment by local board; make changes throughout to conform.,"Education, Elementary and Secondary - Local boards of education, appointment of vacancies State Agencies - Department of Education, commissioner, appointment of local board vacancies Boards and Commissions - Local boards of education, appointment of vacancies",0,2019 General Assembly,became law without Governor's Signature,1,1,1
